vid_title,vid_id,publish_date,channel_title,channel_id,category_id,duration,views,likes,comments
Snowblind,kwHmv8l2FuA,2020-02-28T10:00:05Z,Grey's Anatomy,UCznwkbB6RwFgG8JRbfV9l-w,43,PT43M4S,Private,23,2
Ghosts,JSsN-BmeFUM,2020-03-03T05:00:01Z,Titans,UCzxUXhkqOQJN-oFFx3gdg2Q,43,PT47M18S,Private,53,9
Elon Musk's Single Tweet Reveals His Next Target & It's Huge | Direct Message,EBifR3ECaCw,2020-09-21T04:34:37Z,Tesla US,UCD3Do37idcInXDQ36ibCyWQ,27,P0D,3643,2425,0
Shirley,EEse-zFT1ko,2020-06-05T04:00:02Z,YouTube Movies,UCpODmDf4xp1rU0QVSYqz7XA,30,PT1H46M47S,Private,270,20
Ethereum CEO  Calls Out FRAUD On Kevin O'Leary And Sam Bankman Fried!,jDxguDmoLLU,2020-09-03T07:22:54Z,Binance | Live,UCmTqvsCkWIsYZ4PcOzvkZSQ,22,PT20M47S,2239,1440,0
Downton Abbey: The Finale,JPHww0NrhZs,2020-07-01T04:00:08Z,Downton Abbey,UC-mIWfBDspZZu22SdJooEmA,43,PT1H37M43S,Private,27,2
Star Sixty-Nine,ZCSWzlwY7iU,2020-09-11T10:07:10Z,Canada's Drag Race,UCn0bZ6hI_c28xLaAe0M_xPw,43,PT59M5S,Private,20,5
How Double Dare You!/Snoop's On,Ukpj2Cf8La8,2020-07-22T04:00:03Z,The Loud House,UCO0G1Y6LhsDAq5_qzNM4Scg,43,PT22M44S,Private,94,4
“Witchbottle”,GNopwwY8WQk,2020-10-06T04:02:01Z,Castlevania,UCx7VAebAzNCGrh16C9cpyzQ,43,PT24M42S,Private,60,0
Ghost Hunters Return to Waverly Hills,FBUA6QT3jCw,2020-05-28T04:00:04Z,Ghost Hunters,UC6_--kasuuBELlRQWfUki_Q,43,PT42M56S,Private,41,2
Astronauts and Fat Trimmings,JpqGevtDM0c,2020-12-04T05:02:02Z,MOM TV/DEV,UCdgi6uZVDt2SP29ZZhYkkBw,43,PT19M53S,Private,10,1
Slay Anything,RwFsbYRavf0,2020-02-12T05:00:02Z,DC's Legends of Tomorrow,UCyeT67dFGnaS6VYaTRaXtyw,43,PT42M19S,Private,40,5
Sink or Swim,ikpyVtYEW8E,2020-07-17T04:00:02Z,Mountain Men,UCB1D8LqcVdXl9cgAJy4HEXA,43,PT41M33S,Private,10,0
"Love, Weddings & Other Disasters",fYSJw_5gYeU,2020-12-04T05:02:01Z,YouTube Movies,UCv4Jnd_xZqqbopo7nwLk4LQ,30,PT1H36M35S,Private,83,4
"November 11, 2020 - Nill The Cat",-tB003CpwY0,2020-11-13T10:54:08Z,Tosh.0,UC4kGTEGETuZ10mtX3hc1oSQ,43,PT21M38S,Private,12,3
I've Got The World On A String,-I7KQF5Cdzk,2020-03-13T19:45:02Z,Twenties,UCeiu2GymrRNIMHmNwhjDfiQ,43,PT22M46S,Private,22,4
A Needle in the Heart,2KyFnJL09mA,2020-04-16T04:00:02Z,Chicago Med,UCIAtMrn_fBWK17H3SLsvA_A,43,PT41M22S,Private,13,0
Randy's a Wrangler,s88oVq02_VM,2020-04-14T04:00:02Z,Bob Hearts Abishola,UCQeo57CS3Ne4fcIQQL3mOKQ,43,PT19M37S,Private,15,3
The Ice Pop Trio: Creek Street,RXrj9QKm2M4,2020-10-12T09:34:55Z,Craig of the Creek,UC2gTuwaNmMeWx_jYottRldA,43,PT11M20S,Private,28,4
Holeways,Ss_SvuOCS3U,2020-06-15T04:00:02Z,The Shivering Truth,UC7idCGsbL1WhEWfzlkSnzew,43,PT11M18S,Private,22,7
Blood And Money,wf_myEEyI_4,2020-05-15T04:00:02Z,YouTube Movies,UCfMCY8hzJzaME9fvnnAPbdw,30,PT1H29M26S,Private,40,13
Карлсен-Каруана комментирует Морозевич. Шахматы [RU] lichess.org,tyYxs68TvDw,2020-08-14T21:44:14Z,Формула шахмат,UChMyNGGQh0WAeMQAG9pJxRA,1,PT2H56M4S,2031,145,1
Swan Thong,gUjX-bpi9Ng,2020-06-03T04:00:02Z,DC's Legends of Tomorrow,UCyeT67dFGnaS6VYaTRaXtyw,43,PT42M26S,Private,33,8
Chanel and Sterling CCXII,v35wmyD0vdw,2020-11-25T11:23:56Z,Ridiculousness,UCXg9atRNRa1Mq_HIHJLlW-g,43,PT21M15S,Private,5,0
Uma linda mensagem de Natal do Magic City,3xAw5dg3-Ug,2020-12-25T11:00:03Z,SoftART,UCTQX-sReu-iPmpmGx5X_Mvg,24,PT48S,942,41,0
Viaje pelo Brasil,Kp6EevA9WDc,2020-06-09T19:01:51Z,SoftART,UCTQX-sReu-iPmpmGx5X_Mvg,19,PT58S,940,40,0
Joy Aylor,HWKamN0vulg,2020-02-17T05:00:02Z,Snapped,UCUy7MEE2KaRVuCy-hHNWR9w,43,PT43M34S,Private,2,3
Girlz II Women,kUfKx8ZXXq4,2020-03-28T09:00:02Z,Sydney to the Max,UCt_NyfJ24FvNoE9zPQAFBTg,43,PT23M7S,Private,64,0
The Darkness Within!,xYBz_QOb-nA,2020-02-04T05:00:04Z,Beyblade Burst,UCEc5kocl9tcQzaf7cyq6cvQ,43,PT22M12S,Private,37,0
Detroit Diesel Brothers,eUtntpyi7vQ,2020-01-07T05:00:02Z,Diesel Brothers,UCsVz61BgJdhTwW1FAGwyniA,43,PT41M35S,Private,12,0
DNA Mysteries,besqWChiTis,2020-11-19T09:34:27Z,Finding Your Roots,UCFznJUJ0pYF6S0tREmzgFrQ,43,PT52M18S,Private,10,3
Rusty's Raptor Crossing/Rusty's Dinosaur Snow Day,9pywl-xaaHM,2020-04-28T04:00:02Z,Rusty Rivets,UCZTWkjpCGgKZVy7I-QFNfHw,43,PT23M18S,Private,67,0
The Man in the Tree,0Ze1C9qS_wM,2020-12-28T19:36:27Z,Father Brown,UCgzerR9hbvDUk_aW7lG9y3Q,43,PT45M28S,Private,5,0
The Lost Puppy/Goats in Trees,4iaMQUEByjk,2020-09-23T10:14:15Z,Rainbow Rangers,UCUYaIedQvzV682B-f5Ml1yA,43,PT22M40S,Private,15,0
Betty,pAkDJi6aLcE,2020-04-23T04:00:01Z,Mrs. America,UChTtTwrzDEH0SWp8hEh7n9Q,43,PT51M29S,Private,7,0
O INCRÍVEL PODER DA MENTE. - HENRIQUE AMARAL COM VOCÊ,tfjXcaNXtmM,2020-08-11T22:33:09Z,Instituto Henrique Amaral,UCjLTxbDpBynpRiKsIy37ixg,24,PT1H7M22S,794,122,7
Survival Camp – Part Two,lzfF-rga418,2020-03-03T00:44:33Z,The Simple Life,UCmaiGYoPHjMaskFVUrIb5lg,43,PT21M58S,Private,11,0
Night Shift,HrPBDcsrQk0,2020-07-02T04:00:04Z,See No Evil,UCk3n7LqSWbMBSZyDBNsWwdg,43,PT42M34S,Private,0,0
A Dummy Comes to Life and More,yDrJfKO6bsM,2020-04-27T04:00:02Z,Paranormal Caught on Camera,UCjlBRCY1YTfMW3sjOOsANdA,43,PT42M15S,Private,5,2
"Friends and Family Picnic / Lights, Camera, Action Hero",fFWvSEdCyng,2020-04-04T04:00:03Z,The Rocketeer,UCxjhaE-h_OFSiiWdfZOksCw,43,PT24M6S,Private,103,0
All-American Family Farms,5b3JgYNBTk0,2020-07-27T04:00:02Z,United Shades of America,UCyDtIgQTqBejG2wyY3wWBKA,43,PT42M6S,Private,9,1
